-15.555555555555555,2.016
16.11111111111111,2.042
24.444444444444443,2.043
-16.11111111111111,2.044
-18.88888888888889,2.043
12.777777777777779,2.043
0.0,0.041
-3.3333333333333335,2.048
16.666666666666668,2.047
-6.666666666666667,2.043
-27.77777777777778,2.044
-15.555555555555555,2.017
16.11111111111111,2.036
24.444444444444443,2.036
-16.11111111111111,2.037
"[316, 342, 346, 340, 332, 323, 321, 317, 311, 311, 311, 311, 316]",7.222222222222222,1,30.06136679649353
"[274, 275, 275, 270, 270, 269, 270, 274, 275, 280, 285, 294, 355]",-12.777777777777779,1,30.060481548309326
"[255, 429, 429, 429, 343, 260, 255, 258, 253, 248, 244, 244, 244]",20.0,1,30.06237816810608
"[289, 303, 303, 294, 294, 289, 289, 289, 290, 290, 294, 303, 309]",1.1111111111111112,1,30.06123185157776
